Probe Name	perc_Samples_above_Threshold	20150715_PP1_PR13-126-11B 15-1_10.RCC	20150715_PP1_PR13-126-12B_12.RCC	20150715_PP1_PR13-126-1B_01.RCC	20150715_PP1_PR13-126-5B_04.RCC	20150715_PP1_PR13-126-6B_06.RCC	20150715_PP1_PR13-126-7B_05.RCC	20150715_PP1_PR13-126-9B_08.RCC	20150715_PP2_PR13-126-13B_01.RCC	20150715_PP2_PR13-126-16B_02.RCC	20150715_PP2_PR13-126-3B 15-2_06.RCC	20151008_PP3_PR13-126-03A_01.RCC	20151008_PP3_PR13-126-06A_02.RCC	20151008_PP3_PR13-126-11A_03.RCC	20160226_26FEBCITN_PR1312644A_07.RCC	20160226_26FEBCITN_PR1312644B_08.RCC	20160226_26FEBCITN_PR1312647A_05.RCC	20160226_26FEBCITN_PR1312647B_06.RCC	20160325_Lysates1A_PR13 126 01A_05.RCC	20160325_Lysates1A_PR13 126 05A_06.RCC	20160325_Lysates1A_PR13 126 07A_07.RCC	20160325_Lysates1A_PR13 126 09A_02.RCC	20160325_Lysates1A_PR13 126 12A_03.RCC	20160325_Lysates1A_PR13 126 13A_09.RCC	20160325_Lysates1A_PR13 126 16A_04.RCC
ID	xx	22-024_D015:22-024_D015	22-025_D015:22-025_D015	58-001_D015:58-001_D015	58-003_D015:58-003_D015	58-004_D015:58-004_D015	58-005_D015:58-005_D015	22-023_D015:22-023_D015	58-007_D015:58-007_D015	22-026_D015:22-026_D015	58-002_D015:58-002_D015	58-002_D000:58-002_D000	58-004_D000:58-004_D000	22-024_D000:22-024_D000	22-029_D000:22-029_D000	22-029_D015:22-029_D015	58-008_D000:58-008_D000	58-008_D015:58-008_D015	58-001_D000:58-001_D000	58-003_D000:58-003_D000	58-005_D000:58-005_D000	22-023_D000:22-023_D000	22-025_D000:22-025_D000	58-007_D000:58-007_D000	22-026_D000:22-026_D000
FLAG				FLAG	FLAG	FLAG		FLAG	FLAG							FLAG									
CD1B	12.5	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	8.12	13.37	5.62	6.88	11.58	8.99	7.62	7.5	9.62	9.12	9	9.25	7.88	8.88
CD1C	91.67	134.1	18.92	181.87	40.14	26.75	11.75	24.27	29.84	15.25	31.18	135.93	94.92	229.3	130.55	43.73	78.42	18.13	420.57	142.26	179.5	284.65	408.95	150.36	206.67
CD1D	100	51.15	28.38	174.37	64.51	44.05	40.66	45.22	77.23	30.95	85.22	81.56	70.85	92.52	33.05	39.87	45.74	26.3	251.5	54.63	72.38	143.89	276.64	87.85	116.35
CD1E	62.5	19.35	12.88	28.12	9	10.5	11.75	12.13	11.62	15.25	10.88	209.73	127	241.37	47.92	7.38	104.56	7.62	363.28	146.38	147.66	312.8	360.84	179.09	237.29
CD2	83.33	40.09	12.88	174.37	41.58	33.04	11.75	67.28	28.09	29.61	76.91	77.68	65.51	108.62	24.79	59.16	67.8	28.11	141.12	41.23	9.12	62.56	9.25	47.31	96.45
CD200	100	1765.41	734.22	1091.21	394.25	1444.28	1248.95	2657.09	2043.19	47.1	573.7	743.75	1248.62	426.42	1259.2	1320.91	314.5	806.09	758.69	492.74	767.24	656.88	902.1	750.13	543.46
CD207	91.67	161.75	24.6	37.5	32.97	22.03	11.75	43.02	33.35	22.88	10.88	221.38	176.46	233.32	254.48	70.74	99.66	37.18	268.27	82.47	115.81	203.32	276.64	148.67	157.68
CD209	100	128.57	33.12	194.99	88.88	42.48	29.27	59.56	40.37	92.86	137.19	229.14	143.04	643.65	67.75	83.6	100.48	24.48	266.87	221.63	133.18	359.72	757.76	158.81	228.1
CD22	100	1987.99	3030.55	1291.82	663.77	234.42	684.64	754.44	1592.07	37.68	182.92	153.41	376.99	434.46	233	167.2	93.12	69.82	595.22	136.07	130.29	225.22	240.56	582.87	148.5
CD24	100	8912.75	635.82	1488.69	8325.06	5405.83	8497.88	16644.04	13687.97	7818.87	12257.64	13434.07	7654.8	591.35	8877.2	7741.52	8814.04	13085.07	1053.51	3328.56	14982.82	7732.43	2561.95	22316.41	1532.41
CD244	83.33	37.33	51.09	67.5	21.5	36.19	14.64	33.09	38.62	29.61	81.07	23.3	25.4	5.62	21.48	15.43	33.49	10.88	75.45	15.46	9.12	9	9.25	20.27	61.24
CD247	100	120.27	25.55	459.36	71.68	92.82	23.58	89.34	82.5	83.44	189.15	157.29	108.28	241.37	38.01	90.03	105.38	38.08	533.74	119.58	78.17	215.83	336.78	168.95	280.15
CD27	100	37.33	23.65	755.6	90.32	66.08	13.01	54.05	161.49	45.76	255.67	256.33	144.38	567.21	42.96	110.61	115.18	64.38	726.56	116.48	234.51	197.06	396.92	202.74	448.55
CD274	100	33.18	23.65	75	41.58	22.03	17.08	23.16	40.37	88.82	56.12	120.4	54.81	193.09	44.62	42.44	98.02	36.27	262.68	74.22	72.38	334.7	276.64	123.33	192.89
CD276	100	1631.31	1125.93	2081.17	1670.17	2839.79	1291.23	1170.27	2164.31	1718.54	2585.81	1805.97	1955.81	852.83	3655.32	2823.16	1573.29	2037.43	1848.53	1157.63	1531.58	2615.01	1503.49	1665.83	1616.61
CD28	100	53.92	13.25	179.99	34.41	26.75	28.46	28.68	33.35	21.53	39.49	110.69	90.91	172.98	31.4	56.59	43.29	24.48	155.09	53.6	92.65	106.35	156.36	76.03	88.79
CD33	100	42.86	17.03	120	63.08	72.37	25.21	30.88	54.41	21.53	112.25	85.44	28.07	48.27	77.67	42.44	28.59	34.46	164.87	31.96	63.7	140.76	252.59	60.82	157.68
CD34	100	81.57	82.32	112.5	77.42	70.8	44.72	57.36	78.99	86.13	195.39	190.31	106.95	643.65	74.36	59.16	75.15	39.9	191.42	63.91	101.33	253.37	601.4	135.16	136.25
CD36	100	129.95	146.65	4902.93	557.68	818.11	274.02	166.55	3106.91	200.52	787.8	425.28	958.52	8846.12	598.2	1430.23	472.97	136.92	2030.17	350.48	298.21	2302.21	2886.71	2591.67	1318.09
CD37	95.83	38.71	12.88	211.87	34.41	37.76	15.45	17.65	33.35	26.92	126.8	85.44	48.13	116.66	56.18	25.72	61.27	18.13	290.62	53.6	69.49	93.84	132.31	69.27	102.57
CD38	100	63.59	42.58	350.61	54.48	31.47	31.71	69.49	50.9	209.94	174.6	281.58	196.52	458.6	41.31	59.16	100.48	55.31	684.64	122.67	167.92	400.38	276.64	167.26	526.62
CD3D	100	87.1	28.38	740.6	88.88	113.28	13.82	142.29	112.34	115.74	234.88	306.82	287.42	587.33	42.96	183.92	227.91	78.89	779.65	211.32	150.55	325.31	493.15	194.29	390.37
CD3E	91.67	53.92	12.88	388.11	35.84	44.05	11.75	70.59	54.41	76.71	193.31	118.46	122.99	237.34	24.79	141.48	100.48	35.36	406.59	80.41	66.59	175.17	324.75	101.37	211.26
CD3EAP	100	196.31	85.15	284.99	150.53	185.65	120.34	255.89	414.26	83.44	234.88	322.36	249.99	345.96	176.82	200.64	137.23	187.69	434.54	291.73	237.41	447.3	637.48	687.62	248
CD3G	87.5	37.33	12.88	202.49	32.97	28.32	11.75	48.53	38.62	51.14	112.25	104.86	94.92	181.03	28.09	38.59	58.81	9.97	230.54	55.67	49.22	106.35	9.25	65.89	133.19
CD4	100	591.7	119.22	1636.81	828.63	580.54	386.23	547.08	649.47	501.97	2330.14	1027.27	407.74	764.33	492.44	567.21	410.89	266.58	1706.01	441.2	440.07	1004.09	1070.49	481.5	1319.62
CD40	100	1041	714.35	1244.95	665.2	841.71	362.65	525.02	649.47	562.53	642.29	508.78	697.84	543.08	508.97	526.05	236.08	214.9	814.58	471.09	645.64	850.82	469.09	456.16	757.79
CD40LG	95.83	53.92	12.88	136.87	32.97	50.35	13.01	26.47	28.09	44.41	60.28	203.9	144.38	213.21	24.79	21.87	63.72	19.95	245.91	104.11	118.7	187.68	324.75	101.37	174.52
CD44	100	3012.39	644.34	2752.39	1271.62	841.71	1109.09	683.85	937.34	1563.77	6928.05	3011.89	652.38	3721.08	1493.86	1055.95	1210.6	1806.21	3152.14	1277.2	1436.03	2643.16	3139.29	1562.77	1428.31
CD46	100	7643.65	4847.18	3845.48	4260.73	3003.41	6095.93	9916.94	5260.69	3780.24	4227.92	3338.13	2053.4	2530.34	7267.67	6279.13	3431.67	6389.75	2378.08	3077.04	3778.28	2737	2237.2	3902.71	3367.93
CD47	100	6635.83	3462	7983.44	13159.24	4216.42	5458.45	10023.93	11997.6	27772.46	11284.85	6726.75	4481.12	1910.83	7219.75	7889.43	4803.2	4277.97	3866.13	6749.9	4009.89	3913.13	1972.58	13769.3	9179.15
CD48	100	142.39	40.68	1351.82	298.19	179.36	70.74	195.23	293.14	158.8	465.61	314.59	201.86	402.28	102.45	213.51	211.57	106.99	1012.99	253.59	176.61	556.78	445.03	322.69	492.94
CD5	95.83	88.48	18.92	431.23	83.15	89.68	11.75	82.72	115.85	64.6	149.66	52.43	81.55	249.41	54.53	115.76	106.19	46.24	244.51	32.99	46.32	93.84	312.73	37.17	94.91
CD53	100	839.16	218.56	4203.59	1254.42	1389.22	697.65	832.75	1397.23	632.51	1933.12	1363.21	740.61	1440.16	892.35	1154.99	836.48	654.66	3683.09	809.21	648.53	2026.95	1888.39	1174.19	2573.41
CD55	100	308.29	414.42	118.12	121.86	110.13	138.23	226.11	189.57	183.02	176.68	238.85	105.61	317.8	282.58	190.35	142.95	165.93	349.31	197.92	202.67	303.42	312.73	244.98	176.05
CD58	100	1021.64	300.88	929.96	653.73	564.81	744	613.26	688.08	379.5	802.35	774.82	439.82	800.54	821.29	783.28	359.42	644.69	883.05	409.24	486.4	591.19	697.62	462.92	754.72
CD59	100	7851.02	6965.64	5604.16	6325.15	8686.15	5625.95	5581.1	12608.45	3107.36	10919.01	6124.76	4561.33	9284.61	6717.39	5587.16	5001.7	3844.55	3231.79	4831.52	4255.99	5633.54	6675.51	6688.67	3294.45
CD6	100	49.77	19.87	189.37	32.97	40.91	18.7	83.83	35.11	26.92	68.59	200.02	136.36	289.64	24.79	51.45	64.53	24.48	405.2	229.88	136.08	250.24	360.84	153.74	215.85
CD63	100	9942.69	4672.14	9477.76	8839.73	12501.38	7850.64	5572.28	9510.32	10780.89	31805.02	10798.91	7579.93	5116.99	14092.48	11423.85	7975.93	7472.39	7403.91	6546.83	9991.44	8508.17	7505.44	8736.33	5650.47
CD68	100	377.41	78.53	684.35	414.32	325.67	270.77	270.23	459.89	749.59	2334.29	1576.82	441.16	937.31	751.89	648.23	348.8	358.16	1837.35	539.13	720.91	2571.22	1166.71	767.03	1579.87
CD7	87.5	35.94	12.88	90	57.34	47.2	11.75	55.15	11.62	82.09	178.76	100.98	77.54	96.55	19.83	30.87	25.32	25.39	53.09	26.8	63.7	43.79	252.59	30.41	47.46
CD70	87.5	34.56	12.88	56.25	17.2	10.5	11.75	18.75	22.82	22.88	47.81	69.91	38.77	64.36	39.66	15.43	21.24	13.6	169.06	52.57	75.28	84.46	144.34	65.89	101.04
CD74	100	25993.12	3865.07	21353.54	16473.78	8942.59	5614.57	10982.42	7119.57	19849.96	36220.01	19525.82	11673.36	10004.69	8059.22	8946.67	9119.54	5282.63	18831.83	5796.38	11491.17	20482.17	7349.07	4683.25	19703.94
CD79A	95.83	26.27	23.65	2459.9	78.85	53.49	11.75	80.52	161.49	53.83	696.34	137.88	116.31	981.56	51.23	54.02	68.62	97.02	1303.61	67	118.7	96.97	433.01	130.09	468.45
CD79B	100	24.88	17.98	1162.45	40.14	26.75	17.08	23.16	66.7	40.37	201.63	100.98	85.56	611.46	46.27	61.74	88.22	38.08	1085.65	141.22	318.48	265.88	805.87	233.15	289.34
CD80	100	40.09	21.76	138.74	63.08	50.35	31.71	56.25	49.15	79.4	160.05	289.34	163.1	233.32	69.4	72.03	80.05	40.8	357.69	215.44	127.39	378.49	252.59	219.63	212.79
CD81	100	32757.52	16009.99	15916.25	16681.65	19883.26	11286.06	22865.98	44130.46	7809.45	17499.93	10231.88	14205.36	10278.24	23113.45	21421.32	22628.96	23985.82	12303.98	10859.84	11250.87	14776.69	16418.14	30392.15	11948.51
CD83	100	377.41	434.29	1852.43	389.95	799.23	447.21	275.75	547.66	270.5	561.23	603.93	518.7	418.37	389.99	412.86	452.55	434.33	621.77	271.11	335.85	365.98	264.61	295.66	474.57
CD84	100	275.11	57.72	1019.96	302.49	368.15	277.27	234.94	405.48	148.03	781.56	866.09	304.8	687.9	353.63	385.85	409.25	186.79	1436.35	419.55	263.47	1198.03	481.12	638.63	875.66
CD86	100	138.25	45.42	213.74	162	152.61	69.93	111.4	128.14	110.35	209.94	289.34	221.92	285.62	118.98	132.48	124.16	75.26	373.06	164.93	141.87	356.59	276.64	277.08	298.52
CD8A	100	48.39	21.76	414.36	74.55	61.36	17.08	110.3	87.77	148.03	334.66	170.89	132.35	201.14	57.84	79.74	110.28	18.13	405.2	141.22	156.34	209.58	228.53	143.61	200.55
CD8B	100	37.33	17.98	131.24	78.85	56.64	22.77	75	133.4	48.45	99.77	246.62	189.83	297.69	148.72	102.89	97.21	36.27	454.1	196.89	193.98	300.29	264.61	214.56	218.92
CD9	100	10904.89	2495.97	5189.8	6388.23	10997.31	25867.68	12727.34	16989.73	5976.52	17140.33	9544.45	7531.81	2630.91	17103.32	13475.3	13670.33	11530.03	1277.07	3569.78	9586.11	3052.93	2140.97	9917.28	2922.45
CD96	95.83	117.51	25.55	538.1	104.65	121.14	11.75	189.71	94.79	94.2	266.06	102.92	129.67	333.89	41.31	150.48	159.29	50.78	476.45	80.41	34.74	137.63	336.78	69.27	185.24
CD97	100	1440.53	409.69	1663.06	1932.53	1143.78	726.11	1086.44	668.78	1115.64	1265.88	912.69	1245.94	1810.26	860.95	663.67	1365.81	1375.51	1370.68	1484.4	581.94	1191.77	1383.21	569.36	1393.1
CD99	100	3630.35	6315.63	5017.3	3086.59	5994.24	1122.91	1787.94	4630.53	2011.91	9187.51	8344.35	3179.03	4714.71	10075.26	5155.01	1844.49	2638.59	3564.33	1691.6	1757.4	3978.82	3860.97	4237.23	2334.59
CDH1	100	4925.72	823.16	1250.58	3254.33	1296.39	3472.82	7043.66	4079.36	3097.94	2068.23	1301.07	1413.05	366.07	1702.07	1651.45	4953.5	3280.56	723.76	1167.94	1473.67	1642.2	962.24	4794.76	1935.03
CDH5	100	171.43	164.63	341.24	197.84	210.82	96.76	156.62	233.46	96.89	272.3	374.79	276.73	832.72	218.13	221.22	213.2	95.21	592.42	257.71	182.4	1032.24	1046.43	375.07	313.83
CDK1	100	190.78	308.45	693.72	749.79	838.56	957.85	1256.3	705.64	931.27	513.42	514.6	672.43	108.62	396.6	645.66	622.46	1114.38	427.55	676.23	764.34	1010.35	252.59	1170.81	871.07
CDKN1A	100	1147.45	790.04	650.6	326.87	473.56	228.49	379.43	358.08	364.7	719.2	541.79	358.28	410.32	517.23	333.12	251.6	209.46	487.63	194.83	425.6	650.62	565.31	359.86	451.61
CEACAM1	100	81.57	37.85	84.37	74.55	50.35	76.43	144.49	110.59	130.54	110.17	269.92	136.36	181.03	51.23	66.88	39.21	53.5	265.47	190.7	138.97	369.1	360.84	217.94	143.9
CEACAM6	100	42.86	88.94	54.37	43.01	53.49	19.51	100.37	105.32	177.64	33.26	180.6	117.64	164.93	100.8	48.87	99.66	62.56	282.24	176.27	118.7	344.08	228.53	1015.38	162.27
CEACAM8	62.5	11.75	12.88	18.75	9	17.31	11.75	10.12	11.62	15.25	27.02	182.54	112.3	136.77	16.52	7.38	32.67	7.62	180.24	123.7	63.7	168.91	312.73	172.33	85.73
CEBPB	100	3006.86	2331.34	2977.38	2726.75	2945.2	2479.19	2903.06	2317.02	1884.06	3606.41	3025.48	2751.24	2397.58	2485.35	1488.11	1598.62	2189.76	1770.29	3096.63	3856.45	2493.02	1262.93	2606.88	2265.7
CFB	100	2969.54	768.28	860.59	2368.35	1618.92	4652.65	5177.41	1074.25	4729	4308.99	1947.73	2462.48	937.31	2520.05	2271.39	2430.19	2596.89	2554.13	1390.6	4753.97	1320.02	841.96	1561.08	6790.98
CFD	100	223.96	88.94	601.85	239.42	64.5	67.49	66.18	365.11	34.99	374.15	283.52	100.26	2047.6	150.38	141.48	42.48	29.92	223.56	107.21	49.22	275.26	1286.99	199.36	105.63
CFI	100	4053.39	1475.07	2675.52	2445.76	3004.99	9057.31	3227.33	2383.72	3227.13	3105.46	1852.57	1652.35	1066.04	3536.34	5030.25	776.03	1993	2868.51	2544.1	2735.99	1751.68	2092.86	2868.75	2749.46
CFP	87.5	55.3	22.71	39.37	25.81	10.5	30.9	17.65	11.62	15.25	49.89	83.5	77.54	193.09	39.66	24.44	24.51	20.85	265.47	180.4	196.88	215.83	372.87	103.06	94.91
CHIT1	100	507.36	37.85	93.75	20.07	33.04	42.28	55.15	84.26	72.67	128.87	182.54	84.22	152.87	313.97	212.22	95.57	35.36	328.35	140.19	321.37	775.74	493.15	150.36	232.69
CHUK	100	486.63	395.5	609.35	530.44	577.4	678.95	591.2	363.35	698.45	1033.08	613.64	475.92	635.6	588.29	677.82	349.62	441.58	512.78	471.09	382.17	528.63	396.92	342.97	416.4
CKLF	100	1342.37	650.01	1389.32	1341.87	1334.15	625.29	1737.2	1260.32	1146.59	1488.29	970.95	957.18	599.4	1264.16	1218.01	744.99	1101.68	712.59	709.21	445.87	697.54	553.29	565.98	1036.4
CLEC4A	100	244.7	218.56	328.11	189.24	224.98	111.4	124.64	194.84	135.92	727.52	396.15	157.75	233.32	264.4	180.07	181.35	86.14	470.87	154.63	266.36	428.54	360.84	233.15	352.1
CLEC4C	54.17	19.35	12.88	48.75	9	10.5	11.75	10.12	11.62	15.25	10.88	34.95	24.06	213.21	11.57	20.58	9.8	12.69	85.23	9.62	9.12	53.18	9.25	20.27	44.4
CLEC5A	95.83	353.91	21.76	196.87	303.93	259.59	319.55	349.65	252.77	118.43	419.88	378.67	122.99	32.18	335.46	264.95	48.2	258.42	58.68	139.16	312.68	272.14	9.25	184.15	211.26
CLEC6A	83.33	16.59	15.14	28.12	14.34	10.5	45.53	10.12	21.06	15.25	22.86	229.14	112.3	177	23.13	19.29	46.56	7.62	195.61	75.25	193.98	222.09	372.87	133.47	105.63
CLEC7A	100	154.84	74.75	406.86	164.87	265.89	115.46	91.55	235.21	74.02	218.26	489.36	199.19	305.73	284.23	221.22	171.54	83.42	532.34	214.41	341.64	622.47	589.37	228.08	387.31
CLU	100	160.37	42.58	63.75	86.02	162.05	30.09	243.76	54.41	39.03	41.57	256.33	233.95	269.53	85.93	27.01	107.83	19.95	433.14	135.04	107.12	356.59	493.15	170.64	217.38
CMA1	62.5	16.59	12.88	39.37	24.37	23.6	11.75	10.12	11.62	15.25	10.88	27.19	20.05	225.28	14.87	14.15	8.99	9.07	36.33	12.37	9.12	9	216.5	7.88	15.31
CMKLR1	100	341.47	95.56	579.35	283.86	198.23	186.2	213.98	287.87	123.81	704.65	627.23	286.09	876.97	173.51	279.1	211.57	81.61	1233.75	318.53	222.93	1154.23	1335.1	366.62	765.44
COL3A1	100	69098.39	17611.85	252985.78	76179.94	269103.75	13590.43	10765.13	171633.3	24607.22	285214.16	227484.05	74947.76	26003.33	253710.84	165299.81	46928.41	23886.99	149606.7	10475.34	42169.03	52447.24	35807.19	81004.06	60827.93
COLEC12	100	329.03	149.49	929.96	442.99	899.92	170.75	69.49	800.43	133.23	598.64	601.99	235.29	518.94	1229.46	915.76	145.4	136.92	441.52	131.95	353.22	303.42	938.18	239.91	243.41
CR1	100	546.07	101.24	903.71	190.67	165.2	192.71	108.09	163.24	87.47	359.6	817.54	362.29	1118.34	211.52	240.52	184.61	173.19	1598.43	495.83	483.5	1010.35	2261.25	544.01	794.53
CR2	87.5	11.75	17.98	217.49	14.34	47.2	21.14	25.37	66.7	15.25	116.4	50.49	22.73	261.48	47.92	25.72	13.89	58.94	50.3	9.62	60.8	31.28	204.48	64.2	41.33
CREB1	100	927.63	1369.1	1160.58	1063.75	1061.97	671.63	970.63	1356.86	728.06	631.9	1009.79	1137.66	1098.22	1219.54	1259.17	913.26	935.75	1228.16	974.14	726.7	1079.16	1034.4	1258.67	992.01
CREB5	100	142.39	75.69	194.99	153.4	191.94	286.22	258.1	210.64	111.7	270.22	324.3	233.95	703.99	294.14	313.83	281	232.12	424.76	238.12	419.81	350.34	457.06	380.13	274.03
CREBBP	100	81.57	76.64	54.37	43.01	53.49	50.41	50.74	40.37	30.95	54.04	93.21	104.27	140.8	56.18	50.16	60.45	19.04	201.2	86.59	159.24	165.78	312.73	143.61	79.61
CRP	54.17	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	132.05	89.57	116.66	6.88	11.58	26.14	15.41	190.02	88.65	127.39	165.78	216.5	96.3	96.45
CSF1	100	529.48	161.79	543.73	875.94	368.15	339.88	464.36	435.32	798.04	1346.95	1003.96	370.31	732.15	393.29	263.67	312.86	531.35	522.56	370.07	376.38	547.4	457.06	366.62	740.95
CSF1R	100	114.74	32.17	215.62	129.03	152.61	63.42	65.08	105.32	94.2	419.88	207.78	128.34	237.34	57.84	56.59	71.07	38.08	282.24	125.76	98.44	175.17	276.64	101.37	188.3
CSF2	66.67	11.75	12.88	22.5	12.9	10.5	11.75	17.65	11.62	15.25	24.94	73.79	38.77	48.27	18.18	7.38	42.48	9.07	124.35	40.2	69.49	90.71	9.25	47.31	78.07
CSF2RB	100	230.87	52.04	892.47	268.09	184.08	85.38	158.83	157.98	270.5	1872.84	1062.22	286.09	1126.38	294.14	180.07	173.99	115.16	1222.57	251.52	211.35	678.78	962.24	354.79	515.91
CSF3	87.5	23.5	12.88	20.62	25.81	31.47	11.75	29.78	31.6	32.3	10.88	31.07	30.75	40.23	26.44	15.43	23.69	22.67	67.07	32.99	40.53	56.3	168.39	42.24	44.4
CSF3R	100	127.19	51.09	421.86	269.52	210.82	140.67	419.13	210.64	104.97	860.55	739.86	90.91	84.48	335.46	144.05	124.16	85.23	354.9	52.57	75.28	391	204.48	194.29	356.69
CT45A1	100	37.33	42.58	67.5	6052.76	36.19	1144.06	2764.08	71.97	36.34	27.02	1821.5	1244.61	1520.62	52.88	30.87	289.99	354.53	3483.29	5765.46	1111.77	2677.57	2140.97	1128.58	1413
CTAG1B	100	60.83	20.82	337.49	2415.66	80.24	12.2	76.11	78.99	79.4	45.73	25.24	40.11	44.25	44.62	38.59	13.07	32.64	88.03	3071.89	34.74	37.54	216.5	28.72	30.62
CTAGE1	58.33	11.75	12.88	26.25	9	10.5	11.75	10.12	11.62	15.25	10.88	225.26	108.28	213.21	18.18	7.38	47.38	8.16	412.18	175.24	153.45	353.46	481.12	174.02	177.58
CTCFL	95.83	11.75	22.71	39.37	189.24	190.37	82.94	905.55	314.2	1080.65	41.57	180.6	346.24	197.12	128.89	65.6	112.73	12.69	335.33	554.59	312.68	622.47	505.17	456.16	638.38
CTLA4	95.83	53.92	29.33	641.23	96.05	47.2	11.75	59.56	49.15	83.44	247.36	289.34	133.68	265.5	46.27	122.19	125.8	49.87	579.85	271.11	199.77	444.18	565.31	211.19	347.51
CTSG	75	26.27	12.88	46.87	28.67	10.5	11.75	10.12	11.62	15.25	31.18	112.63	108.28	627.56	64.45	29.58	96.39	17.23	268.27	108.24	156.34	243.98	613.43	155.43	139.31
CTSH	100	2079.23	1565.9	3239.87	1212.85	2141.25	1657.13	887.9	2102.87	584.06	1390.6	607.82	1443.8	905.13	1176.58	1077.82	1055.4	946.63	2189.46	545.31	1456.3	891.48	914.12	709.58	1354.83
CTSL	100	1067.26	1300.03	1462.44	1678.77	1460.02	1305.05	1418.44	1042.66	1321.54	1764.75	1246.7	577.52	925.24	1452.54	1322.19	831.57	1139.76	1770.29	1252.46	1424.45	4213.42	1250.91	1341.45	2059.03
CTSS	100	2065.4	461.73	3961.72	1749.02	1554.41	1131.86	1454.84	1788.67	1910.98	3760.23	2501.17	1155.04	1657.39	1396.36	1278.46	1398.48	1140.67	4427.81	1159.69	729.6	4244.7	1756.08	1248.53	3309.76
CTSW	95.83	49.77	12.88	142.49	24.37	45.63	17.89	52.94	43.88	52.48	168.37	114.57	81.55	92.52	24.79	27.01	43.29	8.16	240.32	67	107.12	137.63	132.31	67.58	133.19
CX3CL1	100	663.58	326.43	466.86	865.91	229.7	395.99	612.16	858.35	448.14	469.77	384.5	274.05	514.92	318.93	266.24	690.26	545.85	321.36	329.87	231.62	362.85	625.45	337.9	254.13
CX3CR1	100	286.17	123.95	577.48	306.8	605.72	252.07	106.99	598.56	45.76	162.13	221.38	334.21	293.66	218.13	288.1	490.94	100.65	526.75	223.69	260.57	359.72	685.59	312.55	537.34
CXCL1	100	908.28	87.99	380.61	474.53	429.51	411.44	655.17	895.21	890.89	3718.66	5074.19	244.64	213.21	317.28	186.5	75.15	721.76	475.06	185.55	483.5	559.91	565.31	662.28	788.4
CXCL10	100	37.33	222.35	714.35	534.74	281.62	80.5	1179.09	272.07	1309.42	850.16	751.52	320.84	96.55	39.66	753.7	345.54	543.13	760.09	470.06	188.19	1388.83	288.67	141.92	1393.1
CXCL11	100	33.18	115.43	421.86	258.05	261.17	19.51	399.28	131.65	1954.04	631.9	479.65	545.43	168.96	44.62	542.77	112.73	162.31	709.79	249.46	225.83	944.66	517.2	246.66	802.18
CXCL12	100	1457.12	749.36	5000.43	1349.04	1494.63	245.56	157.73	3094.63	130.54	3298.78	1870.05	862.27	6203.15	3228.97	1962.71	507.28	355.44	5101.28	871.06	628.27	697.54	5821.52	1392.14	2672.91
CXCL13	91.67	11.75	19.87	843.72	126.16	37.76	11.75	15.44	57.93	36.34	552.91	108.75	54.81	510.89	57.84	162.06	121.71	75.26	663.68	215.44	69.49	231.47	156.36	65.89	162.27
CXCL14	100	211.52	82.32	4554.2	1244.39	4623.91	501.69	33.09	3343.88	98.24	606.96	528.2	2032.01	9558.16	6386.89	4969.8	509.73	688.21	1298.02	148.44	874.36	606.83	21097.01	525.43	773.09
CXCL16	100	1076.94	209.1	635.6	1032.21	822.83	818	897.83	847.82	1076.61	2637.77	1122.42	647.03	221.25	694.05	792.29	537.5	831.47	518.37	270.08	830.93	469.2	288.67	714.65	544.99
CXCL2	100	1595.37	277.23	879.34	1165.54	328.82	670.01	879.08	145.69	180.33	293.09	767.05	147.05	277.57	143.77	96.46	45.74	88.86	399.61	178.33	469.03	353.46	577.34	309.18	572.55
CXCL3	100	476.95	65.29	159.37	184.94	190.37	321.18	307.73	64.95	300.1	471.85	720.45	163.1	185.05	46.27	47.59	66.17	191.32	399.61	254.62	292.42	325.31	204.48	241.6	399.56
CXCL5	91.67	37.33	12.88	52.5	35.84	34.61	65.05	93.75	38.62	15.25	295.16	291.29	77.54	80.46	34.7	43.73	29.41	152.33	226.35	78.34	138.97	165.78	168.39	113.2	73.48
CXCL6	100	71.89	25.55	155.62	124.73	59.79	48.79	118.02	435.32	684.99	989.42	6744.22	136.36	333.89	52.88	64.31	29.41	124.22	788.04	105.15	182.4	222.09	372.87	442.65	889.44
CXCL9	100	190.78	110.7	2786.14	437.26	144.74	30.09	370.6	240.48	493.89	1099.59	1015.61	391.7	297.69	123.94	896.47	397	416.19	2773.5	854.56	179.5	1754.81	312.73	241.6	3219.44
CXCR1	100	45.62	24.6	54.37	40.14	39.33	19.51	34.19	70.21	32.3	97.7	271.87	117.64	181.03	42.96	25.72	62.08	22.67	340.92	182.46	246.09	378.49	697.62	195.98	212.79
CXCR2	100	29.03	25.55	97.5	68.81	34.61	18.7	26.47	21.06	25.57	157.98	570.92	110.96	209.19	158.64	16.72	75.15	23.58	414.98	235.03	199.77	400.38	288.67	185.84	277.09
CXCR3	95.83	60.83	12.88	374.99	41.58	48.77	14.64	66.18	70.21	74.02	232.81	141.76	85.56	168.96	24.79	100.32	139.68	30.83	528.15	119.58	66.59	175.17	336.78	123.33	264.84
