Probe Name	perc_Samples_above_Threshold	20150715_PP1_PR13-126-11B 15-1_10.RCC	20150715_PP1_PR13-126-12B_12.RCC	20150715_PP1_PR13-126-1B_01.RCC	20150715_PP1_PR13-126-5B_04.RCC	20150715_PP1_PR13-126-6B_06.RCC	20150715_PP1_PR13-126-7B_05.RCC	20150715_PP1_PR13-126-9B_08.RCC	20150715_PP2_PR13-126-13B_01.RCC	20150715_PP2_PR13-126-16B_02.RCC	20150715_PP2_PR13-126-3B 15-2_06.RCC	20151008_PP3_PR13-126-03A_01.RCC	20151008_PP3_PR13-126-06A_02.RCC	20151008_PP3_PR13-126-11A_03.RCC	20160226_26FEBCITN_PR1312644A_07.RCC	20160226_26FEBCITN_PR1312644B_08.RCC	20160226_26FEBCITN_PR1312647A_05.RCC	20160226_26FEBCITN_PR1312647B_06.RCC	20160325_Lysates1A_PR13 126 01A_05.RCC	20160325_Lysates1A_PR13 126 05A_06.RCC	20160325_Lysates1A_PR13 126 07A_07.RCC	20160325_Lysates1A_PR13 126 09A_02.RCC	20160325_Lysates1A_PR13 126 12A_03.RCC	20160325_Lysates1A_PR13 126 13A_09.RCC	20160325_Lysates1A_PR13 126 16A_04.RCC
ID	xx	22-024_D015:22-024_D015	22-025_D015:22-025_D015	58-001_D015:58-001_D015	58-003_D015:58-003_D015	58-004_D015:58-004_D015	58-005_D015:58-005_D015	22-023_D015:22-023_D015	58-007_D015:58-007_D015	22-026_D015:22-026_D015	58-002_D015:58-002_D015	58-002_D000:58-002_D000	58-004_D000:58-004_D000	22-024_D000:22-024_D000	22-029_D000:22-029_D000	22-029_D015:22-029_D015	58-008_D000:58-008_D000	58-008_D015:58-008_D015	58-001_D000:58-001_D000	58-003_D000:58-003_D000	58-005_D000:58-005_D000	22-023_D000:22-023_D000	22-025_D000:22-025_D000	58-007_D000:58-007_D000	22-026_D000:22-026_D000
FLAG				FLAG	FLAG	FLAG		FLAG	FLAG							FLAG									
BLK	70.83	11.75	12.88	217.49	18.64	10.5	11.75	10.12	29.84	15.25	64.44	8.12	10.69	112.64	23.13	12.86	13.07	8.16	139.72	16.49	37.64	65.69	348.81	42.24	16.84
BLNK	91.67	96.77	27.44	211.87	68.81	77.09	62.61	50.74	73.72	119.77	174.6	85.44	41.44	112.64	64.45	69.45	113.55	79.79	96.41	15.46	9.12	59.43	9.25	42.24	91.85
BMI1	100	794.92	623.52	924.34	513.24	981.73	583	544.87	1260.32	515.43	575.78	534.02	695.16	716.06	1619.44	1651.45	809.52	946.63	605	555.62	521.14	459.82	625.45	819.4	474.57
BST1	100	297.23	299.93	508.11	143.36	330.39	384.6	767.68	214.15	67.29	540.44	805.89	391.7	518.94	439.56	424.44	111.91	76.17	613.38	182.46	524.04	631.86	529.23	278.77	339.86
BST2	100	917.96	3217.89	956.21	4576.13	1590.6	420.38	5121.16	1800.96	6321.04	4375.5	3074.03	2824.76	675.83	4192.38	5183.3	9326.21	15552.29	1124.77	5566.51	2848.91	3353.22	841.96	751.82	2051.38
BTK	100	70.51	31.22	298.11	86.02	89.68	56.11	61.77	107.07	75.36	367.92	287.4	175.13	313.78	125.59	99.04	96.39	36.27	463.88	180.4	124.49	309.67	336.78	167.26	295.46
BTLA	100	51.15	51.09	684.35	81.72	59.79	47.97	453.33	64.95	32.3	93.54	213.61	172.45	317.8	67.75	90.03	120.9	29.02	736.34	250.49	257.68	425.41	493.15	273.7	361.29
C1QA	100	623.49	163.69	1606.81	1059.45	567.96	448.03	363.99	702.13	1061.8	4853.59	2289.5	577.52	1066.04	497.4	918.33	400.27	277.46	3277.9	958.68	399.54	3794.27	2874.68	816.02	3187.29
C1QB	100	1755.73	335.89	4632.94	3055.05	2488.95	1613.22	1120.63	2690.9	2575.78	11091.54	6289.82	2006.61	2369.43	1847.49	2868.18	1481.8	948.44	5759.37	1843.13	642.74	7044.26	4318.03	1667.52	6253.64
C1QBP	100	2693.04	1410.73	1816.8	2306.7	1592.17	2136.06	3173.29	1606.12	1466.88	4128.15	1656.44	1474.54	1983.24	1545.08	1979.43	1525.1	3875.38	929.16	1468.94	1713.98	1945.62	950.21	1096.48	881.79
