	Tbet	CD27	CD223	CD25	CD197	CD8a	CD152	CD103	CD107a	MIP1b	CD39	CD137	CD14	IFNg	CD127	IL-2	CD4	CD183	CD274	CD326	CD20	CD56	TNFa	CD3	Ki67	CD45	GZMB	CD95	CD279	CD45RA	File	PatientID	DAY
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.15861	0	0	0	0	0.306917809490732	0	0.124240852971048	0	3.61242112675279	0	0.0217980675522566	0	0	0	0	0.415109128458055	0	0	0	0	0.0500596748438851	4.40979024639998	0.727050954396179	0.697979671532788	0	0	0	2.88869688401492	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.5732	0.508637555504334	0	0	0.77410826618163	0.0812341489973853	0	2.029089423718	0.0479114732081159	1.28837949035576	3.69416785912729	4.77639867088155	0.0282105577023802	3.82619128258104	0	0	0	1.77557167727572	0.571246274039284	0	0	0	1.7507453413124	0	0	0.040378886126079	4.57925627264999	0	1.77639195663219	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-22-19 TIL105-58-007-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.315	0	0	0	0.253238782465258	0	0	0	0	0	0.422087478056486	0	0	0	0	0	0.409147606870567	0	0.0192681847105564	0	0.134002224626829	0	0	0	0	0.407206300298886	0	0	0.470640209102989	0	0	export_Ex_5-22-19 TIL105-58-007-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-58-007-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.25196	0	0	0	0.0339547383826002	0	0	0.431344980093332	0	0.168673023606552	0	4.81651818627476	0.194173549630964	0	0.682806101998797	0	0.77237086921889	0	0	0.746641180948223	0.737128036325506	0.502097608122206	0	0	0	0.614641184025272	0.297429381667543	0	4.70807817044958	0	1.01873808126504	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.30335	0.512008509571732	0	0.36264069097064	0.271679426956863	0	0	0	0	3.30399852895087	0	0.540655265512784	0	0	0.404049250306663	0	0.065314449546482	0	0	0	0.276939996357243	0	3.62946017340885	0	0.288410101821414	0.913640660765125	0	0	1.16385175187262	0	0	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.1709	0	0.0243289266765466	0	0.317693263649749	0	0	0.486468158423898	1.09075848803368	5.20925043969534	0.510919712873861	0.569029330224798	0.95509722616791	0.0924293019641629	1.37927834225717	0	0.591870470032678	0.00532781419877133	0.29996850574908	1.26242588287958	6.34398906771949	0.127463097244357	5.45204883356626	4.53231732769708	0.839879114546322	0.675456017464306	0	0	4.15734161167032	0	0	export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-21-D015	D015
export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.3268	0.368780487971537	3.52659659259912	0	0.219710688575283	0.631419259995385	0	0	0	0	1.51264754886351	4.33967223163381	0.838372643033058	0	0	1.20439775270307	0.163381424979448	0.437174248216036	1.81731149183971	0.0206234259666679	0.0895829598494233	0	0	1.09911427830369	0	0.749403315721904	3.7059061212841	0	0.927229048656145	0.489513462749986	0.185206593439354	export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-21-D015	D015
export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.1926	0.0303753065972065	2.22343741643625	0	0	0	0.313016267990717	0.0162006116130067	4.16309300166842	0.524978051448015	3.66345302613271	0	0	0	1.96988579533597	0	0.296126411072969	0	2.75286285448628	0	0	0	1.76100783604035	0.695617614284196	0	0.351947116816753	1.72968533679091	1.89793867711972	1.49374066780551	0	1.26397434575593	export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-21-D015	D015
export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.4483	0	0.161551554450277	0.00926816829211556	0	0	0	0	0	2.43679815829394	0	0.250110433671852	0	0	0	0	0	0.0283212708225176	0	0	0.0501515711536383	0	4.20123166941079	0.173928723501885	0	0	0	0	2.76617051550707	0	0.540071861721427	export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-025-D015	D015
export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.4630	0	4.47052108966614	0.670482882483613	0	0	0	0	0	3.53213855997062	1.03114783530576	5.51680915853834	0.392173662427017	0.550758686073826	0	0.848598552092043	0.715698948483608	0	2.09152725612113	0	0	0.657283313618212	0.9197513179381	0	0.280247377610522	0.388400589072489	4.61854431913374	0.251534906663046	4.18153448760944	0	3.23938156498175	export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-21-D015	D015
