,Tbet,CD27,CD223,CD25,CD197,CD8a,CD152,CD103,CD107a,MIP1b,CD39,CD137,CD14,IFNg,CD127,IL-2,CD4,CD183,CD274,CD326,CD20,CD56,TNFa,CD3,Ki67,CD45,GZMB,CD95,CD279,CD45RA,File,PatientID,DAY
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.6013",1.822030347,3.275168553,1.271166156,1.944240813,0.468088792,5.884934383,2.284961178,5.200066452,4.243666262,4.987796028,4.815294584,0,1.726533475,4.768381242,0.532883385,0.87015352,0,0.658599366,0.533970721,0,0,1.180997329,3.17609416,4.058264419,0.074764823,4.735353687,3.401046645,4.467196939,2.873907369,0,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.12719",0.36437917,3.374893009,3.474489379,3.095204449,0.95791506,6.174725871,3.597429348,5.317762857,3.135299843,3.630722751,7.237567789,2.123677623,1.363732097,0.010417112,0,0,0,1.526124105,0.123161989,1.933453729,0,1.249159412,0,4.25074937,0.239838283,5.94379706,1.781972471,4.505751163,4.385391946,0.354124688,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-16-19 TIL105-58-002-D015_02_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.1213",0,0,0,0,0,0,0,0,2.53480724,0.37649112,0,0,0,0,0,0,0.188878163,0,0,5.940811128,0,3.003980243,0.056415924,0,0,0,0,2.754636117,0,0,"export_Ex_5-16-19 TIL105-58-002-D015_02_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D015,D015
"export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.3032",0.096344252,3.715058977,0.500916431,2.056825544,0.162755195,4.581746568,0,0,2.328576033,2.916344744,0.80903925,0,0.164707261,4.449383099,0,0,0,2.18923704,0.018626751,0,0,0,2.979910406,3.225975075,0.234596071,4.567754938,2.842421614,3.612727139,0,0.334851238,"export_Ex_5-23-19 TIL105-22-21-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-21-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.4207",0.132911968,0,0.735910049,0.35414832,0.384587328,0,0.084484211,0,0.99751169,0.205404771,1.186170901,0,0,0,0,0,0,0,0.414453603,0,0,0.157363543,0,0,0,0.732082521,0.120804189,0,0,0.158892864,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.10233",0,0,0.997505251,0,0,0,1.049266587,0,3.868665285,0.561351443,0.534858932,0,0,0.77685481,0,0,0,0.977097611,0,0.45191102,0,3.8378102,0.129686862,0,0,0,0,2.296881657,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.27303",0.283290333,0,0,0,0,0,0,0,3.754534588,0.794983961,0,0.111913051,0,0.142613801,0,0,0.270722489,0.932084681,1.394408928,0.252840612,0.434582214,4.04716434,0.294631394,0,1.775868116,0.10148363,0,2.166863284,0.250164684,0.513016597,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18695",0.155852925,1.074296696,2.192338064,1.088151937,1.828266273,4.673414505,1.168785977,4.017429966,2.897531442,3.230519681,3.890404578,0,0,0,0,0.766291856,0,1.264335899,0,1.069247208,0,0.347835325,0,4.295781771,0,5.530908463,0,4.723298965,1.91767264,0.592828039,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.24507",0.203851072,0,0.329944754,0.917398654,0,0.261519177,0.02482096,0,3.1089152,0,0.458108341,0.130111864,0,0,0.058951297,0,0.153735144,0.153427253,0.372815984,0.378604887,0.114931258,3.843063298,0,0,0.015111841,0,0,2.787863119,0,0,"export_Ex_5-24-19 TIL105-22-025-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-025-D015,D015
"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.7972",0,0,0,0.605958078,0,0,0,0.320868565,3.572150451,0.024591772,2.094806821,0,0,0,0.137868996,0.084370022,0,0,0,3.283436249,0.909385032,0,0,0,0.006455207,2.016139411,0,1.537830343,0.109030156,0.257182044,"export_Ex_5-24-19 TIL105-22-026-D015_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D015,D015
