ALDH1B1
ALDH7A1
AOC1
AOX1
CAT
CYP1B1
IL4I1
KMO
KYNU
MAOA
OGDHL
CD38
NADK
NAMPT
NT5C1B
NUDT12
QPRT
AFMID
