Sample,Cytosine ,Aspartic acid ,Uridine monophosphate,Inosine monophosphate,Adenosine monophosphate,Guanosine monophosphate ,Uric acid ,Adenine ,Hypoxanthine ,Nicotinic acid ,Xanthine ,Uridine ,Adenosine ,Guanosine ,Inosine ,Guanine ,purine ,Xanthosine ,Thymine ,NADP ,Citrate,Malate,Fumarate,Succinate,Oxalate,Glutamine,Glutamic acid,Hydroxy glutarate,SAM ,SAH ,NADH ,NAD 
22-022,-3.670966388,-3.707729372,-6.675530606,-5.171108417,-2.03050506,-5.381214742,-4.12340229,-5.611046825,-1.316783004,-7.372537747,-5.223309584,-7.33117406,-6.540478934,-6.091200274,-4.200957762,-4.719946721,-9.386812936,-9.277427088,-9.726583568,-11.18423048,4.577866548,-7.986651383,-6.597671697,-4.561712909,-8.504891012,-1.257583656,1.379572285,-2.849487001,-3.170021538,-5.326225688,-6.277380637,-3.772459793
22-023,-7.861480246,-3.618623501,-6.165677229,-3.940540813,-1.270153087,-5.12447382,-4.568684395,-4.626972198,-0.373986369,-6.354648227,-4.22417709,-7.726354371,-7.719392535,-7.411502344,-4.197695517,-5.688919268,-9.626738617,-11.64392399,-9.883380921,-11.06850144,4.306800338,-7.119462439,-6.414675941,-2.886794735,-6.16041541,-0.245580275,2.200256008,-1.964042626,-3.051853631,-5.718753025,-5.238694755,-2.730299447
22-024,-3.999934681,-3.811105587,-7.389873205,-5.28681995,-3.088751191,-5.675189839,-4.856269884,-5.347481686,-1.058243949,-7.169741932,-4.662104146,-7.258660539,-6.578072514,-5.119975988,-2.778017564,-3.999563065,-10.05241396,-8.284926655,-9.989101509,-10.57851208,2.715903123,-8.2349854,-6.968894873,-3.715224786,-6.673194535,-1.040008444,1.498286409,-2.673572693,-2.696370815,-5.435804006,-5.381390541,-2.938154378
22-025,-8.04152739,-1.046115662,-9.1595246,-7.451668176,-3.899526198,-7.588186919,-4.966024958,-4.217796206,0.119255111,-5.900391631,-5.628663123,-4.310503415,-3.247040453,-2.377014986,-0.460968707,-1.255198645,-9.232758402,-5.793290707,-12.0884415,-10.73903267,3.712873785,-6.604896622,-5.554032107,-2.814664323,-5.758582813,-0.29740155,3.095341579,-1.04806669,-3.820064716,-4.282781637,-2.860813637,-0.336901794
22-026,-8.650403886,-1.630872973,-5.862108144,-2.744542523,-1.567930916,-4.344374095,-4.838006644,-3.426086009,1.004651454,-5.166517049,-3.266732085,-6.030929429,-5.988089766,-4.801336259,-2.116180239,-3.578139865,-8.306144927,-8.264228662,-8.629650408,-10.27522836,3.154033016,-5.300617589,-4.34544146,-3.294460861,-4.956830253,0.718208398,3.333416602,-0.85558159,-3.771064733,-4.71262408,-7.023930017,-4.270736813
22-029,-2.329209349,-1.88147746,-7.378433644,-5.816368768,-3.192993123,-5.68284955,-6.7303666,-3.898165589,0.566340133,-6.075090888,-3.138579567,-5.123884067,-6.491445361,-3.040947095,-1.310291025,-1.997925863,-9.51447966,-6.395290394,-11.23190189,-12.36178997,4.460427534,-7.005388743,-5.3802581,-2.782623729,-5.350705913,-0.451177766,3.22048889,-1.081469959,-3.221324575,-4.322277971,-5.134609057,-2.642541399
58-001,-2.004519075,-1.524712953,-9.530003523,-7.766211007,-5.548146436,-7.81419253,-4.398510329,-3.842552748,0.640883256,-6.461091199,-6.573047034,-5.25494509,-8.161170915,-3.422672598,-2.521385481,-2.406494418,-8.496761029,-6.822749148,-10.32784431,-11.81168864,2.410036824,-4.587241634,-4.807183259,-4.709744594,-6.819270745,-1.343670332,1.638023494,-2.619144465,-3.10590293,-4.999348395,-12.81259516,-9.758957192
58-002,-5.384805895,-1.845789463,-8.540548985,-5.440038659,-2.993170861,-5.510825485,-5.198475346,-2.761564259,1.676932383,-5.364138703,-2.768529501,-5.807121863,-6.637691908,-3.21525758,-1.347187257,-2.15555004,-8.369808253,-6.531274114,-7.965411408,-11.64577049,1.164104769,-3.770154164,-4.014774135,-1.676475521,-3.800828667,0.253817503,3.010936627,-1.135228726,-3.17186469,-4.790344783,-5.523691295,-3.103169898
58-003,-6.712354181,-0.862961955,-5.730521384,-3.317957417,-0.962831472,-3.90615619,-5.130354584,-2.956651469,1.416348084,-5.490742286,-2.723233731,-5.345735926,-4.997310695,-3.702113957,-1.676730442,-2.630264678,-8.580320675,-7.104713622,-9.170148068,-12.45485796,3.12274751,-5.382230011,-4.184835093,-2.877299629,-5.829848941,-0.211868488,2.676955706,-1.584192145,-3.745277717,-4.521808167,-4.810859042,-2.245073075
58-004,-5.64197774,-2.194376714,-9.020120197,-6.488284063,-4.029749354,-7.323938168,-4.365884841,-4.27733832,0.13394877,-6.334013572,-5.700630871,-6.031326182,-7.838115304,-4.026297493,-2.372442487,-3.128866777,-9.333632886,-7.169622198,-10.42800599,-12.14845063,5.460732384,-7.477107073,-6.163252469,-4.91488997,-5.755537014,-1.255279022,1.590985898,-2.463379024,-4.324994902,-5.019493564,-5.237187496,-2.715738764
