	22-022-Day-15	22-026-Day-15	22-029-Day-15	58-001-Day-15	58-006-Day-15	58-007-Day-15	58-008-Day-15	58-003	58-001-Pre	58-003-Pre	58-006-Pre	58-007-Pre	58-008-Pre	22-022-Pre	22-026-Pre	22-029-Pre
A1BG	1.19917	0	2.266050062	7.18232	0	0	4.04921	0	0	0	0	0	0	0	1.13635098543487e-321	5.69657689654957e-321
A1CF	5	0	18.0041	26.0028	9.00539	2	16.00666769	25.0552	8	18.002	6.00277	8.00308	17.0284	34	9	12.1293
A2M	15.9356	30.0324	157.207	303.904	0	424.213	562.786	0	597.933	66.3912	836.203	495.855	141.333	97.2411	929.681	171.659
A2ML1	15.1869	3.04043	31.1788	18.5152	67.7201	16.9396	33.6173	33.7527	0	19.08384	9.03381	20.1333	5.40482	0	15.6115	36.3063
A3GALT2	0	0	0	0	0	0	8	0	0	0	0	0	6	0	0	3
A4GALT	51.814	81.99996	37	60	145.94836	152.6981	189.9997	15.2015	119.16816	35	36	76.092	21	0	3	32
A4GNT	0	0	9	0	1	0	0	0	0	0	0	2	0	0	8	0
AAAS	76.588209	156.9353016	1.41049	25.3514	275.3684	63.58469	164.4654002	0	84.6128	85.8028	177.5519	52.85236	193.23577	0	55.1435	119.71925
AADAC	0	0	6	0	0	10.352	0	0	0	7.75652	6.4228533959362e-323	45.7301	20.8425	0	0	0
AADACL2	0	0	0	0	0	0	3.48126	0	0	0	0	4.5061	5.63234836259021e-322	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	25.5969	0	0	0	0	0
AADACL4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AADAT	39.1868	67.4309	30.35201	23.07816	92.99997	33.6525	98.6755	8.23602	68.1242	15.47074	25.6115	15.00001	64.2271	0	93.4255	59.54249
AAED1	136.7124	125.522	209.57749	120.392	107.6303	210.92518	81.5684	259.3271	197.0874	137.0535	174.7785	174.3517	142.1544	135.483	98.4876	139.6248
AAGAB	428.6206	583.931	494.6197	293.8517	153.1719	576.716	567.0794	334.7567	553.341	244.5922	318.528	486.5556	415.4901	824.61388	402.4388	248.7301
AAK1	1440.3252	1588.8286	2979.8419	2052.2013	1289.6353	2068.2031	2694.848	2165.5648	1908.7063	1149.14348	1593.3757	1711.0711	3484.5957	1219.9538	1365.92169	2376.8515
AAMDC	121.5084	146.42144	116.00818	128.4124545	279.9684	124.56089	236.15017	88.39814	156.4359	125.43448	79.676	115.49095	326.3739	392.9159	126.0156	94.90948825
AAMP	439.4266	729.90449	272.2515	153.22305	897.1226	653.0618	553.0364	837.679	263.72966	411.2888	203.1372	320.07855	305.22	379.1058	77.8561	215.38001
AANAT	0	0	4	12.1357	29	12.80686	5.51487	0	0	1	4	9	2	42.0998	2	3.04189
AAR2	179	303	176.5815	195.04527	450.815	389.76296	513.99981	242.5271	218.6923	250.9775	192.0005	187.4085	143	36	92	182.8637
AARD	80.5851	53.2863	68.7527	1.17433	25.0355	35.4708	28.266	84.6667	11.2099	19.1009	29.2814	52.5179	21.3717	35.078	25.2766	62.0879
AARS	6.4228533959362e-323	0	102.501	2.47032822920623e-323	16.9075	40.0985	15.3725	0	38.3466	15.7817	85.8845	0	160.588	0	4.46156000000116e-312	0
AARS2	416.802	439.723	508.753	240.557	508.659	439.037	564.23	470.48	124.656	205.891	110.591	154.062	237.736	192.009	272.262	322.413
AARSD1	108.3631	211.05432	77.7625	200.3769	489.266	163.775	58.0528	87.7677	66.6258	131.94529	6.95E-137	60.286	1.03971	205.677	127.1581	71.4273
AASDH	78.5436	358.3097008	149.3009	129.746	67	78.888932	133.0698	125.9998	113.3067	233.33198	71.69202154	100.8327	123.1475	466	39.01375	131.7447
AASDHPPT	324.4812	532.474	176.519	172.7307	477.7825	271.807	215.183	184.8566	380.7751	514.5357	480.649	509.9777	402.274	66.4619	274.5265	226.8943
AASS	59.4917	70.0568	115.9046	63.3827	217.0855	137.552	73.8195	170.52517	57.2893	52.0766	6.18E-131	110.483	1.08842661778827e-320	119.873	140.0991	182.8478
AATF	2005.84	997.096	1076.939	1199.78	2024.44	1087.606	550.5048	2589.58	1221.574	1353.57804	1142.9356	1165.3	587.2201	1944	962.292	904.194
AATK	0	0	62.4537	2.30E-89	5	19.4733	107.577	58.6186	0	21.0258	0	10	23.23057	0	1	73.53484
ABAT	7.6086109459552e-322	0	13.3501	2.09763	0	30.95176	8.94995	5	103.99996	9.60628	68	9.97444	27.78064001	35.3565	119.027	85.30308
ABCA1	3478.0041	1917	2294.0034	2704.2303	1739	3766.27375	2681.0006	3666.9507	2519.00434	4218.247	4536.0027	4429.9987	2176.9975	4072.9956	2614.0005	1513.0351
ABCA10	31.2194	0	1.66E-241	41.2736	0	1.14931	0	0	25	37.9458	1.87E-174	0	0	0	13	4
ABCA12	146	5.22583	12	9	7.1404	0	14	76	13	0	4	1.91003	24	0	4.57504788048994e-321	8
ABCA13	86.4475	181.456	129.691	62.0897	24.6998	112.417	181.127	40.8038	197.289	95.8576	151.13	126.381	181.1109	0	50.6736	77.3265
ABCA2	570.10358	119.8409	364.8407	482.8842	0	420.717462	780.456319	867.1853183	249.0611	667.36768	3.81354	4.85103	97.3045	0	21.06213	16.66924
ABCA3	3.66596709214205e-321	519.3508	141.3423	48.783	742.971	251.6015	307.646	416.9645	58.8179	485.2569	121.6883	81.04323	280.9999	0	26.14991	111.37038
ABCA4	9	36	2	35	5.54494	19.99997	18.5804	67.1245	18	18	100	13.2943	46.99997	0	0	56.9449
ABCA5	115.458	64.5211	156.68433	144.6702	197.69123	86.68656	175.6809	0	331.2464	246.00379	136.7064	66.02314	292.709	345	174.222	207.4926
ABCA6	124.5983	13	141.1479	401.951	0	382.4859	0	31	564.678	128.35831	414.403	804.294	18.1258	1033.075	186.8837	188.6526
ABCA7	24.18119	200.96775	152.45318	123.2692	125.0668	146.50456	292.9851	165.8663	90.3547	90.20527	24.505	28.11045	7.68877	31.84271	132.9299	73.3723
ABCA8	91.82121	0	34.0081	286.5272	0	256.443	0	61.2215	394.54428	22.63687674	224.9835	456.1517	13.3464	85.18290008	78.3503	34.6572
ABCA9	387.953	89.7382	367.2829	463.463	79.9397	337.44784	174.3326	417.496	389.7018	301.36408	366.31625	501.18	231.682	947.1141	473.101	392.0799
ABCB1	9	56.1032	0	34.596079	2.53456	58.8968	4137.539	11.5487	21.2248	60.3386	135.3425	225.0323	6.29743	11	156.5049	6.488959
ABCB10	123.154	221.797	99.7089	164.965	105.171	175.305	88.7827	155.273	176.981	159.774	270.208	158.24	35.8206	72.7966	132.821	98.5723
ABCB11	0	87.7361	0	0	0	2	0	0	0	6.19838	13	4	0	0	40	0
ABCB4	36.7155	29.524	11.7677	53	39	39.1963	21.2275	0	47.4185	3.92872	0	26.94638	1	209	64.60581	33.7208
ABCB5	43.3445	0	17.70641	16.49229	11.89157	46.03386	47.42138	19.75604	16.19691	30.67886	21.8108	74.112	10.47051	36.42856	87.4814	34.308
ABCB6	21.42235	46.8307	40.3428	75.8067	0	159.7148	0	61.2849	63.6394	49.565	1.54E-287	31.3233	70.2555	0	3.73502	1.01E-34
ABCB7	407.8198	386.9996	303.5268	116.62738	592.0001	393.0004	430.00007	243.8615	188.6638	396.12375	588.7203	423.8201	550.187	481.9999	231.15886	193
ABCB8	79.48357	152.6244	83.3482	83.98270004	64.6037	183.7156	168.8069	174.46989	75.9623	122.43961	26.91513	56.68152	102.859	227.125	124.89133	54.6326266
ABCB9	405.48234	755.99997	566.38124	338.2086	709.55816	357.1757208	507.70965	483.2844	207.44435	242.24608	244.32747	177.65449	329.13707	213	172.5183	422.52068
ABCC1	910.9421745	950.177	911.476	672.7556	867.76633	1243.4105	1443.815	1126.8198	543.776	1022.0515	282.7261	546.2445	1011.82	448.8108122	503.003	657.2938
ABCC10	147.33314	285.5171	200.5882	168.043	75.83927	272.88689	303.5408	89.4412	131.945	192.2139	44.8131	120.7665	80.7722	64.9019	56.24399	91.55319
ABCC11	8	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	30	0	15	6	9	12	12	19	0	1	19	15.71703	0	0	26	25.00003
ABCC3	93.6834	2	5.18781	17.1873	46.7358	18.24202	91.0203	15.1545	1.99116	37.86283	25.7131	52.37971	0	0	7.949528	20.2027
ABCC4	261.7511	443.0718	822.1252	223.3005	675.2478	959.9001	984.881	903.3	679.6931	1821.074	619	679.2086	1495.353	183.858	400.529	498.663
ABCC5	195.1787	152.6425	369.35848	256.919	210.40009	365.9215	510.2406	516.4948	324.9927	296.8348	162.95802	245.88199	253.83983	610.801	478.5178	649.7844
ABCC6	16.3993	27.8005	6.92171	28.289322	0	39.931	33.49154	93.1776	2.84E-161	4.33	3.10979	0	3.34E-142	0	18.0406	8.12E-14
ABCC8	0	0	0	0	0	0	1.22725906426966e-320	0	0	0	0	0	0	0	0	0
ABCC9	1461.1583	586.385	1864.1932	2478.0862	580.4201	2540.741	1350.78585	1524.38	1860.1519	1109.6165	642.185	1492.8236	2550.7941	1892.88	2046.0405	1729.88329
ABCD1	278	465.804	198.40768	187.3446	438.825	338	81.3972019	913.9998	109.26	200.6056	329	104.00003	136.412	12	98.8103	86.3112
ABCD2	0	34	7	47	17	25	0	0	122	18	20	14	13	0	175	22
ABCD3	482.8122	628.62206	473.3651	290.7826	730.855	466.682	731.1876	260.4153	226.2022	652.351	504.6211	497.151	996.136	454.03967	294.65696	459.39234
ABCD4	6.33635	294.5853	37.64691	91.62798	65.06413	147.6872	301.2656	145.9374	71.0527	54.68089	16.5944	112.5439	4.84184332924422e-322	0	164.0271	31.638
ABCE1	530.482	1075.6627	617.1156	393.4718	782.138	652.5	659.735	325.954	598.716	2118.21	1655.9057	1341.4755	444.7759	426.749	568.11531	267.217
ABCF1	2258.8582	4478.4516	1166.787	1070.85041	3307.1231	1862.8001	1756.2441	1453.7441	1322.7822	905.5711	547.726	1302.9975	1042.51858	1851.2721	1276.0017	856.5709
ABCF2	642.662	858.5844	467.3314	574.917	950.9851	732.2646	1144.917	866.458	567.8145	1164.9343	358.66327	473.73672	395.1876	504.658	300.79045	287.4753
ABCF3	135.063	277.65	1.63E-129	164.219	123.505	303.298	7.01E-58	176.346	203.386	121.173	3.23E-19	0	4.56022591111471e-321	0	38.211	7.58E-75
ABCG1	112.4423	193.9152	315.1356531	206.9782	27.024485	380.0275005	315.3485	375.7934	221.3248	115.44639	305.7907	164.1927	340.5174	86.30294	123.64307	215.26251
ABCG2	62	150	33	36	0	80.99998	18.000021	20	39	27.00005	19.00005	52	23	0	56	33.99999
ABCG4	0	0	49.372	0	41.000027	4.52115	3.13972	4.39775	0	0	0	0	0	0	0	27.06118
ABCG5	0	0	7.055257422613e-321	0	0	0	4.69362363549184e-321	0	2.90E-229	0	10	4	7.06E-53	0	0	0
ABCG8	0	0	0	0	0	0	0	40	0	0	0	0	2	0	4	0
ABHD1	14	6	5.02719	4.97524105362135e-321	0	9.32501	7.11922	0	4.64421707090772e-322	0.316148	0	0	0	73	1.28457067918724e-321	2.56420070191607e-321
ABHD10	420.034	406.652	140.575	141.1327	131.7137	170.5792	168.9938	262.473	412.974	379.2616	262.2994	477.183	292.6426	15.837	336.14518	88.7322
ABHD11	18.7618	356.122	63.6615	71.99012	180.8932	56.3608	116.8453	130.3036	19.63029	25.4868	33.7583	95.0111	42.08582	2.41561	38.7542	111.26001
ABHD12	337.3047	938.0128	318.324	180.74564	557.4523	782.40181	1010.38528	291.2353	355.00035	116.5718747	420.0858	339.59886	426.7868	0	208.42411	155.30584
ABHD12B	5.78E-208	0	15.8501	20.2537	0	7.80379	48.6568	0	1.24E-225	0	9.88131291682493e-322	0	7	45.8651	1.51E-83	1.74773
ABHD13	328	588	258	367	203	445	221	210	561	1019	516	615	463	629	500	200
ABHD14A	148.2141	91.4749	39.00005	19.35215	57.88442	66.01754	79.27973	3	11	35.61526	11.0738	46.85955	81.72045	0	15	45.92942
ABHD14A-ACY1	4.03E-170	0	0	21.3875	0	0	14.6279	0	1.665001226485e-321	0	1.74444	0	0	0	2.02566914794911e-322	7.82993
ABHD14B	185.2029	578.0006	149.048	160.7474	335.3695	205.6637	279.2274	468.4247	187.751	167.4228	149	90.16043	204.47287	344	96	102.12303
ABHD15	299.215	95.8427	90.6823	185.183	158.975	238.395	181.589	117.926	111.473	48.9873	164.075	104.078	6.35909	8.03348	123.102	41.9332
ABHD16A	4.83E-151	597.6522	34.58346	64.67736	451.879	236.8326	375.2438025	176.7242	77.6924	59.78918	175.1097	74.7169	28.3808	0	212.4234	2.53E-39
ABHD16B	59	48	71	53	84	93	53	75	0	24	72	7	37	0	14	11
ABHD17A	219.778	302.004	153.5635	72.3841	187.4732	442.5418	279.5274	321.568	144.892	166.2837	3.64E-37	219.783	25.8455	62.9014	29.1487	128.17356
ABHD17B	136.0653	229.222	55.94774	78.0873	133	111.0143	145.0078	157.5137	74.1799	109.7783	82.1286	87.9887	197.1579	142.0806	91.2119	84.3418
ABHD17C	160.72901	281.1588	104.6978	10.76649	58.48176605	58.9443	134.1518	79	116	65.33873	95	23.97851	34.0304	16	9.84053	36.4112
ABHD18	116.230148	381.781	214.48327	267.0583	212.999	216.2079	279.58529	552.0461	238.1754	278.1458872	212.9225431	302.8152	269.7801	231.1909	346.51407	223.28153
ABHD2	1803.85457	1507.7747	1828.91	1706.63653	2057.2519	3111.5825	1142.88054	855.91555	1995.4441	744.941587	1322.7775	1403.8153	753.30315	1026.19	700.4194	984.104
ABHD3	162.2712	262.551	72.7683	186.623	98.45656	134.65925	107.0312	0	127.7622	109.8298	137.5192	104.956	68.7144	296.1311	182	46.10671
ABHD4	74.62943	351.727	157.069	133.809	314.021	303.632	506.7062	189.492	127.29	137.103	163.69	71.1905	303.66522	271.052	77.234184	29.9955
ABHD5	142	285.68092	162.84168	22.37081	134.00012	119.53355	191.40132	106.06742	182.723	131.4232	206.4786	132.68505	71.7288	129	95.39041	77.02576
ABHD6	71	32.51757	43.9288	51	7	94.6307	121.99978	40.5881	36	44	65	77.99997	58.14427	224.9999	97.00005	50
ABHD8	40	198.9995	80	43.00005	86	137	381.99962	321.00015	45	71.00001	49.99997	61.99995	67	0	37	33.00002
ABI1	847	1471.99997	972.2610005	826.4388304	640.7359	1201.3286	741.69193	884.0000636	1445.22907	1483.88903	873.0007	1198.896	476.8902	869	747.0006001	741.00077
ABI2	1552.1864	1443.0096	1284.6346	1037.7844	863.0235	1389.9189	699.63455	1401.8292	1172.6884	776.3668	891.9135	1236.4813	1081.63379	1829.0699	951.2489	1136.70636
ABI3	58	161	78.00004	132.9999	186	275.9997	103	276.999489	202.0005	28	144.00008	351.99961	77	913.0002	204.0004	69
ABI3BP	265.583608	14.773441	219.54868	597.50403	20.502661	395.19145	140.236625	69.436119	707.85832	327.228376	672.62854	1577.76993	6362.6714	5629.2809	1340.05859	226.74332
ABL1	1127	1462	1057	849	840	1330	1814	1286	535	547.9997	318.0002	537	730	679	515	572
ABL2	734.6892	975.1194	1275.581996	643.4775	947.1893656	1227.48449	679.1128	1102.012837	856.5661	644.891	574.7912	873.7191	323.31321	628.746413	652.34244	1111.514521
ABLIM1	6734.0272	4251.3669	4251.0895	3042.9978	2546.5856	11685.5285	2689.5176	3557.2969	5994.652525	4306.454	2646.9989	5793.9925	6462.305	925.92761	1049.8463	3127.8425
ABLIM2	70.99996	17.23826	44.68959	31	0	38.46262	91.96669	81.53172	0	3.05298	7	55.533	166.49874	0	30.00001	100.2809
ABLIM3	97.855266	28.5533	32.3259	12.76418	19.516	38.6299	18.2103	74.40156	47.00751	12.16153	142.364	110.38518	0	163.47	32.589972	37.68775
ABO	62.7512	1.873549	0.505819	19.642	0.260179	34.7874	5.09762	245.549	56.6856	13.8451	5.15429	0	0	246.104	3.75E-262	20.47341
ABR	877.22498	342.1989	750.285804	830.38697	644.7131	1515.76006	1207.061466	540.41503	493.55086	124.40725	334.13683	856.97278	398.80007	807.90998	628.96087	329.662894
ABRA	13	1.00245	34	12	2	10.1578	12.0662	24	16.018	11.1165	43	7.01846	20.3707	30	15	23.6362
ABRACL	665.99989	388	205	206.0002	282.00039	323.99987	650.0001	377	228	288.99958	306.9996	434.99987	631.99979	398	238	234
ABRAXAS1	224.4892	125.6279	153.062	92.12001	534.8192	75.9327	61.068	270.2952	43.0388	135.205	310.845	37.39175688	85.7171	125.68957	195.90887	152.79109
ABRAXAS2	213	643	440	168	354	330	343	366	371	902	918	570	605	515	439	364
ABT1	320	407	102	107	516	232	187	138	157	188	98	142	240	175	213	88
ABTB1	39.8965	0	3.35964639172048e-322	6.78322	0	47.697	2.15E-46	0	7.68E-91	22.3084	74.2275	74.0076	0	0	4.94065645841247e-321	13.1905
ABTB2	92	0	56	92.2295	185	107	166	227	32	122	0	71	43.3732	21	37	61.7586
AC001226.2	288.814	445.478	225.2995	128.66625	182.7305	380.99537	268.8286	203.7997	296.0133	458.15042	242.177	341.2858	258	371.857	416.4027	153.58597
AC002094.3	5	0	0	0	0	0	13	0	6.31932	0	0	0	0	49.9676	0	2
AC002310.4	8.44852254388532e-322	0	6.60203	1.37844315189708e-321	0	2.2885	0	5.85164	0.489102	0	2.12448227711736e-322	0	56.94	0	0	2.45686
AC002429.2	0	0	0	6.18682	0	0	0	0	0	0	0	0	0	0	0	0
AC002996.1	0	20.5801	14.7063	2.66E-279	0	32.01	9.22027	0	38.809	15.0095	6.28E-142	69.4818	29.9106	0	9.38724727098368e-323	2.66795448754273e-322
AC003002.1	9.38724727098368e-323	0	0	0	1.98935	1.69606	0	0	0	0	0	0	0	0	1.53160350210786e-322	0
AC003002.2	61.4975	10.6484	27.2148	36.7223	36.2071	25.6467	7.39977	0	24.6022	24.962	5.17661	24.0277	49.182	0	36.8702	21.6967
AC003002.3	0	0	0	1.82804288961261e-322	0	0	0	0	0	0	0	0	1.82804288961261e-322	0	0	0
AC003006.1	105.64	79.9427	17.9243	20.7496	33.5767	18.6269	33.4952	54.2439	9.98012604599318e-322	28.6889	47.3242	32.3496	60.5398	67.1667	25.5819	88.6022
AC004076.1	4	30.7871	21.426	4.71929	0	2.84084	30.8182	0	41.4203	0	0	2.46143	0	11	22.2978	2.73484
AC004080.3	0	0	7.0157321709457e-322	4.50E-14	0	2.95187	147.495	0	0	0	0	0	41.396	0	0	4.94065645841247e-322
AC004223.3	4.84184332924422e-322	0	4.61E-52	0	19.64108	26.9266	7.75683063970757e-322	17.7924	1.97626258336499e-322	0	7.21768	0	0	0	0	1.28457067918724e-321
AC004233.2	26	0	1	0	0	19	2	51	0	1	0	0	17	0	0	0
AC004556.1	7.62E-76	41.029	1.29E-252	2.27270197086973e-322	88.0053	0	141.875	0	62.127	0	25.2056	26.7256	1.71E-220	0	8.42E-215	3.90311860214585e-322
AC004691.2	1.21046083231105e-321	0	0	0	0	0	0	0	5.82997462092671e-321	0	9.09080788347894e-322	0	0	0	4.74303020007597e-322	7.3812
AC004706.4	23	37	22	3	7	13	38	35	54	18	0	40	13	121	0	28
AC004754.1	0	0	0	9.51E-298	29.1884	2.90978	9.4031200191745e-316	0	1.01E-115	0	0	14.5504	0	0	0	0
AC004832.3	15.046	2.62532	15.3783	5.38531553966959e-321	51.11375	12.5692	9.38724727098368e-323	44.6542	1.13635098543487e-322	0.281254	13.0571	0	0	0	1.1906982064774e-321	4.000042158
AC004997.1	0	0	0	0	0	0	0	0	12.3141	0	1.80333960732055e-321	0	0	0	5.27E-299	1.43E-20
AC005154.6	106.744	168.859	154.387	61.533	73.2506	81.9279	38.8014	243.553	73.9317	145.224	84.3259	147.689	46.987	330.795	56.1968	90.6826
AC005324.3	0	0	28.466	8.48521	22.1877	4.45649	4.91491	0	42.9554	32.7432	0	15.1746	75.1913	0	49.7808	52.0642
AC005697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005702.2	3.27105	27.961	8.23859	0	22.1806	1.09327	0	0	0	15.4507	0	0	0	0	0	0
AC005726.2	0	0	0	0	0	4.90397	0	2.62191	0	7.60547	1.67982319586024e-322	14.9397	1.97626258336499e-322	0	5.18768928133309e-322	0
AC005837.2	0	0	0	0	0	0	0	0	2.11E-60	0	2.47032822920623e-323	17.2733	0	0	8.10267659179644e-322	0
AC005885.1	0	0	5.18596	11.9965	0	0	0	49.3733	0	4	2.15412621586783e-321	10.9126	0	0	0	14.1071
AC006449.4	38.5	22.5	31	21.5	68	32.5	33	40	26.5	14.5	75.5	8.5	18.5	0	5	19
AC006486.1	84.4748	115.384	74.6767	15.5437	114.373	246.145	191.184	115.504	74.7191	64.8675	13.9049	61.6986	49.6875	27.997	37.439	13.4128
AC006538.2	0	0	14.3867	8.9262	0	0	7.83E-269	0	4.29611	0	5.43472210425371e-323	0	4.25248	62.3576	0	37.1223
AC007040.2	52.6595	42.792	140.444	39.0928	13.8538	58.6398	153.537	196.931	63.4058	70.226	3.84123	73.0894	99.7453	66.5525	32.1845	160.352
AC007325.1	34.5153	0	1.73E-181	7.4109846876187e-322	4.58301	0	1.78294	0	5.49895063821307e-321	0	3.31853999999999e-310	0	0	0	0.520081	0
AC007325.2	0	0	29.7782	0	0	0	0	31.5652	0	0	1.04462	0	0	0	0	0
AC007325.4	2.45904	3.82074	4.5004	0	0	11.3509	17.8308	28.9717	0	54.6907	0	0	3.16202013338398e-322	0	28.8541	5.00488499237183e-321
AC007906.2	69.1464	0	0	54	355	55.8149	127	510.884	32.3764	131.871	195.817	122	229	0	18	3.11607
AC007998.2	0	0	10.0668	0	0	3.98019	5.26365	0	0	0	0	0	0	0	0	0
AC008162.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008403.1	35.7679	0	27.3137	96.7389	8.0583	0	76.9227	88.3527	32.2176	2.16414	18.4675	0	9.88131291682493e-323	0	8.96E-78	0
AC008560.1	61.5173	0	21.0371	0	33.8209	27.1835	11.0593	36	6.96926	100.6269	58.3127	68.9186	114.056	82	19.9241	41.3761
AC008687.1	0	0	0	0	0	0	0	0	0	3.38199	0	0	0	0	0	0
AC008687.4	0	0	0	0	0	1	9.32302	16.4406	0	4.21397	0	0	0	0	0	0
AC008695.1	3.97E-148	0	1.88E-137	49.3937	349.394	157.943	3.85371203756172e-322	0	1.7045264781523e-321	18.7825	8.17E-212	42.4893	4.03E-19	0	94.769	7.79E-13
AC008758.1	11.5151	0	186.14	7.69E-171	0	0.00101845	209.675	130.814	35.276	137.849	3.21E-39	82.099	260.167	67.2814	2.53455676316559e-321	58.4714
AC008758.5	25.5704	9.76765	0	0.414829	0	25.5715	102.277	0	0	15.3849	0	0	0	63.8895	44.0577	0
AC008763.3	100.072	211.574	31.127	80.2967	37.4881	154.89	76.8687	69.8884	8.3137	127.874	2.59222	79.1198	1.18E-182	0	16.4951	5.43472210425371e-323
AC008764.4	0	0	0	0	0	0	5.43472210425371e-323	0	0	0	0	0	0	78.1309	1.38338380835549e-322	0
AC008770.3	9.85E-267	23.82254	7.82159	0.0281437	0	1.63753	0	1.60169	0	1.33448	0	7.26952	7.33E-77	0	0	9.58566
AC008878.1	27.2744	0	14.5524	2.47032822920623e-323	111.643	100.026	1.87744945419674e-322	261.785	23.1285	87.8519	14.319	13.0193	40.0022	0.842924	30.689	37.1298
AC008878.3	131.169	449.497	39.174	5.97E-25	264.447	165.287	114.428	375.098	1.13E-118	243.232	6.17653	197.189	1.23516411460312e-321	0	5.68175492717434e-322	85.584
AC008982.1	7.45063	423.011	247.75	272.29609	4.61439	1.27678	234.7057	0	19.288	177.51	124.699	237.048	14.5721	127.756	61.7237	99.5563
AC008982.3	7.45063	423.011	247.75	272.29609	4.61439	1.27678	234.7057	0	19.288	177.51	124.699	237.048	14.5721	127.756	61.7237	99.5563
AC009086.2	0	0	0	0	0	0	96.3671	0	2.05346	0	0	3.78199	104.847	0	44.0066	1.20E-64
AC009119.2	0	0	13.4839	3.11261356879985e-322	5.21224	24.2759	17.4356	25.903	1.29249	0	30.8332	0	0	0	8.86E-275	7.31217155845045e-322
AC009163.4	6.1151	0	9.88131291682493e-324	75.9363	128.51919	12.9378	53.627	135.6165	52.9737	51.3189	17.1526	4.27866	3.35957	2.25199	63.981	55.3848
AC009477.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009779.3	56.12	59.33464	105.7758	101.155	44.8629	48.01799	181.7589	95.76374	93.0015	162.6244	2.36129	59.2535	10.22359	6.47605	16.6927	35.0302
AC010255.3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0
AC010319.2	8	0	0	0	0	0	37.9149	24	0	0	0	0	22.2733	0	0	0
AC010325.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010422.5	6.35635	0	5.38253	2.88928	0	0	26.2208	0	0	0	0	5.76327	0	0	3.12848	1.24504542751994e-321
AC010487.3	598.94	143.468	6.90384	140.284	73.1969	251.185	174.634	72.8331	78.319	124.635	17.8328	144.181	117.038	6.08066	206.01	119.021
AC010522.1	104.42203	135.494	135.0368	2.43122	122.6185756	35.77022	13.1518	74.2279	21.8258	69.2166	93.83269	26.59995	29.1484	289.3469	133.84501	18.67351
AC010531.1	0	0	12.2162	1.03E-172	0	0	0	0	0	1.44604	5.63728901904862e-321	2.34403	0	79.5988	2.16E-109	2.46538757274782e-321
AC010616.1	0	0	0	6.07700744384733e-322	0	7.164	0	0	0	0	0	0	0	0	7.8062372042917e-322	0
AC010646.1	0	0	17.3547	7.31719	0	0	131.351	46.384	0	0	0	2.19771	25.4406	0	0	3.93662
AC010724.2	2.17388884170148e-322	0	0	0	0	0	0	0	2.66795448754273e-322	0	0	0	0	0	0	0
AC011005.1	0	0	0	0	1.10563	3.61662	0	0	0	0	0	0	0	0	3.30453	0
AC011043.1	341.409	54	405.873	451.945	279	293.638	127	155.575	437.41	417.417	342	226.557	161.214	166	182.735	343.552
AC011043.2	8.79558	2.5	9.06359	2.52754	20	3.68088	0	42.7123	9.79486	20.2916	8.5	4.22147	1.89309	2.5	4.63235	16.2238
AC011195.2	0	0	0	1.00708	0	0	0	0	0	0	0	0	0	0	0	0
AC011295.1	0.0141844	0	0	0.577561	0	0	2.91498731046335e-322	0	7.2133584292822e-322	0	2.07507571253324e-322	0	0	0	3.4090529563046e-322	0
AC011448.1	0	1.92114	12.1828	0	0	15.1775	41.5406	0	178.659	2.24534	7.18976	6.91352	0	0	0	11.7229
AC011455.2	5.09E-51	0	28.7497	1.99628	4.92078	15.4268	7.85564376887582e-322	0	15.5116	1.3099	0	0	20.6246	0	9.73309322307256e-322	7.11E-155
AC011455.3	5.09E-51	0	28.7497	1.99628	4.92078	15.4268	7.85564376887582e-322	0	15.5116	1.3099	0	0	20.6246	0	9.73309322307256e-322	7.11E-155
AC011462.1	151.414	27.3627	60.2355	1.83E-23	0	0	3.69E-26	40.8065	31.8778	106.795	173.71	36.4921	61.2522	0	3.02862240900684e-321	84.0571
AC011479.1	138.952	56.3453	442.769	0	0	18.1578	4.34777768340297e-322	0	9.68E-139	0	9.93071948140906e-322	0	0	0	1.33305	3.95252516672997e-323
AC011499.1	3.51505	14.4174	0	2.65E-104	0	1.26144	0	9.68822	0	0	10	0	0	0	0	0
AC011530.1	145.457	29.7831	27.39345	52.5195	12.1805	22.7789	12.04341	186.1749	10.302286	13.3126	9.25574	9.30667	5.92878775009496e-323	37.9216	5.97049	84.0292
AC011604.2	0	0	0	0	0	20.3643	58.2977	0	0	25.86	6.07144	49.27069	93.7069	0	0	0
AC011841.1	8.79558	2.5	9.06359	2.52754	20	3.68088	0	42.7123	9.79486	20.2916	8.5	4.22147	1.89309	2.5	4.63235	16.2238
