	22-022-Day-15	22-026-Day-15	22-029-Day-15	58-001-Day-15	58-006-Day-15	58-007-Day-15	58-008-Day-15	58-003	58-001-Pre	58-003-Pre	58-006-Pre	58-007-Pre	58-008-Pre	22-022-Pre	22-026-Pre	22-029-Pre
MACF1	17656.2331	17995.1996	11132.3671	13327.89361	17203.8146	18533.3908	10188.751	19811.5703	16276.24698	25708.45406	11475.0387	15715.9699	20543.4643	16398.308	16639.3971	11425.0953
MACROD1	1.23E-169	26.9711	5.07796	0	36.582	37.8977	61.2718	0	0	22.5304	2.91498731046335e-322	21.5122	0	0	1.9416779881561e-321	2.43604
MACROD2	611.3343	64.6605	457.786	259.1823	1126.4662	467.4068	225.7198	574.912	326.308	210.9670001	266.3832	174.9742	379.7658	68.7244	113.66975	350.1002
MAD1L1	381.9429	483.3136	356.38328	596.13947	366.02919	575.37428	821.13926	2465.3487	436.32161	820.91627	342.26565	341.36235	156.43091	441.0951	526.3088	446.55113
MAD2L1BP	117.5421	111	47.34601	45.7937	210.5608	88	13.5557	28.98048	52	71.8842	28.1051	105.2555	75	0	114.5761	113.6361
MAD2L2	153	231.0001005	63	149.5843	136.0001	151.5853	297.00026	220.00021	114	218.99967	40	78.99998	84	0	62.6248	27.00003
MADCAM1	0	26	15	0	22	3	22.6255	4	0	5	26	0	0	0	26	3
MADD	446.58167	1250.0722	430.6662402	695.7616	904.33522	1141.864546	762.73141	807.6221	492.76295	431.0421969	542.15099	522.41033	318.6658	957.191	591.14154	393.75076
MAEA	135.48803	865.869	225.0125	68.1098	650.46517	245.29629	535.7886	280.6928	185.03917	252.6569	191.7799	167.89538	299.72274	448.5107	212.7248	319.85707
MAEL	0	0	2	13.806	0	12.000017	0.214687	0	0	5.62126	0	0.648638	0	0	2.98415650088113e-321	11.784456
MAF	1136.7015	701.0004	759.0003	1637.677	612.5779	1416.355	278	399.9996	1264.9327	222.03327	2189.6263	1764.3235	266.085	2894.841	957.1719	296.5296
MAF1	347.9999	1777.005	670.99953	477.9995	1213	1265.00415	1253.0024	1440.9974	506.0007	888.99972	366	339.0003	673.0003	460	291.00009	363.9996
MAFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MAFB	622	1044	986	1375	1560	2277	1250	1206	935	346	1020	1644	1039	1248	681	478
MAFF	168.8847	344.19822	216.61576	171.0151	587.2101	191.43084	151.133	269.6716	83.3916	133.8409	213.894	73.2568	26.1243	86.9479	69.1564	102.840355
MAFG	348.0001	571.9997	323.0002	390.0003	914	513.9347	327.9995	721	243.9997	227.0005	220.9996	215.9998	152	608	213.0001	250.0029
MAFIP	77.8144	0	26.7096	30.2316	184.29	88.2623	89.7688	175.56	68.1729	35.0632	1.46E-220	40.3155	26.9615	0	1.45206	38.7054
MAFK	222.1536	414.9733	158.1037	224.6973	138.6792	298.3708	334.7545	845.427	97.4067	167.058	155.9996	149.3461	231.0003	286	107.6488	110.656
MAG	0	0	2.28699	0	0	61.66698	0	51.9915	5	3.7723	0	13.99053	0	0	0	4.71633
MAGEA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA10	35.1131	8.19553	6.68636	37.8466	8.22027	13.0904	57.9626	170.863	12.752	15.8836	13.3261	25.808	54.1503	8.15731	32.5732	34.2753
MAGEA11	0	0	0	0	0	5.18064	220.6061	115	0	51.999958	0	3	125	0	0	0
MAGEA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MAGEA4	0	0	7.000006	0	0	54.87239	74.0001	0	0	0	0	4	0	0	0	4
MAGEA6	0	0	0	0	0	0	2.76182696025257e-320	0	0	0	0	0	23	0	0	0
MAGEA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA9	0	0	0	0	0	0	234.38	0	0	0	0	0	0	0	0	0
MAGEA9B	0	0	0	0	0	1	161.6195	9	0	1	0	0	0	0	0	0
MAGEB1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB10	3.02643	0	25.7039	5.38111	3.1248	9.24062	38.5168	9.48412	10.3669	13.6349	3.72542	5.11945	18.9822	8.23106	13.5221	23.7165
MAGEB16	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
MAGEB17	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MAGEB18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0
MAGEB4	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEC1	0	0	0	0	0	2	94	0	0	16.00003	0	0	229.0004	0	0	0
MAGEC2	0	0	0	12	0	0	7	0	28	0	0	0	0	0	0	0
MAGEC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGED1	1256.35	1379.51	1116.1773	1464.7538	2690.558	256.9197	1948.088	574.6959	835.708	208.5379	295.057	86.6504	595.835	912.84	952.889	1055.8947
MAGED2	1736.3776	1912.6246	969.76126	779.5757	2612.85258	1431.5524	4498.39	1483.93176	769.1640006	1371.2802	1056.2092	638.00009	803.2793	433.756	571.64976	1031.9591
MAGED4	195.93	0	12.3714	5.1155	0	49.2769	125.169	58.763	9.85E-16	24.1499	7.21E-75	6.04315	7.95967	0	84.9442	9.77E-28
MAGED4B	427.727	426.4366	184.9356	214.9249	630.5827	235.2227	700.517	506.6305	176.9324	169.763	112.08995	42.52360779	1.07706310793392e-320	58.375	150.4196	152.28872
MAGEE1	45	144	127	36	105	49	142	50	30	22	17	5	0	0	6	43
MAGEE2	6	0	3	4	0	4	0	0	0	3	0	6	0	0	0	7
MAGEF1	698	2674	636	524	1530	1018	1072	1132	759	725	691	486	554	308	226	303
MAGEH1	177	165	147	106	171	147	76	190	112	157	123	108	9	417	72	103
MAGEL2	71	0	30	20	29	42	0	50	0	0	0	15	5	0	0	32
MAGI1	845.95236	1152.380121	934.43564	285.57882	511.3496	519.6148	2027.51172	416.1048	402.8503	300.62384	533.5628	244.5697	949.74592	340.45764	236.55698	606.7927
